Num of list_,Spots 0,Spots 1,Spots 2,Spots 3,Spots 4,Spots 5,Spots 6,Spots 7
0,"0, 2, 5, 9, 11, 13, 18, 21, 24, 27, 31, 29, 33, 35 [13]","0, 2, 3, 9, 10, 15, 16, 21, 22, 23, 27, 33, 35 [15]","0, 2, 6, 7, 14, 15, 20, 21, 22, 23, 27, 28, 33, 35 [14]","0, 7, 10, 12, 15, 21, 25, 27, 28, 29, 31, 35  [13]","0, 2, 5, 6, 8, 9, 15, 21, 25, 26, 27, 29, 31, 35 [14]","0, 3, 4, 6, 8, 9, 11, 13, 16, 17, 21, 27, 29, 33, 35 [15]","0, 1, 2, 3, 4, 7, 12, 15, 17, 21, 22, 26, 27, 31, 35 [15]","0, 4, 6, 8, 9, 16, 18, 21, 24, 25, 27, 32, 35 [12]"
1,"0, 2, 4, 10, 11, 12, 15, 19, 21, 25, 27, 33, 34, 35 [14]","0, 1, 2, 11, 12, 15, 16, 20, 21, 22, 24, 27, 31, 32,  35, 36 [16]","0, 1, 2, 4, 5, 12, 15, 20, 21, 23, 24, 27, 25, 31, 32 [15]","0, 2, 6, 8, 10, 13, 15, 16, 18, 20, 21, 27, 25, 33, 34 [15]","0, 3, 4, 7, 10, 13, 14, 16, 17, 21, 24, 27, 33, 34, 35 [15]","0, 5, 6, 13, 14, 18, 21, 25, 27, 30, 32, 33, 35 [13]","0, 3, 10, 11, 18, 21, 24, 27, 28, 30, 34, 35 [12]","0, 2, 7, 9, 11, 12, 14, 16, 18, 21, 26, 27, 35 [13]"
2,"0, 3, 6, 7, 14, 16, 21, 22, 26, 27, 31, 33, 35, 36 [14]","0, 2, 3, 5, 13, 16, 21, 22, 23, 26, 27, 31, 34, 35 [15]","0, 1, 3, 6, 7, 8, 16, 17, 19, 21, 22, 27, 29, 32, 35 [15]","0, 3, 6, 7, 15, 17, 18, 21, 24, 27, 28, 30, 33, 34, 35 [15]","0, 1, 2, 6, 12, 16, 18, 21, 22, 24, 25, 27, 31, 33, 34, 35 [16]","0, 2, 3, 4, 5, 12, 15, 20, 21, 24, 27, 32, 35 [13]","0, 2, 3, 10, 14, 15, 17, 21, 22, 23, 24, 27, 33, 34, 35 [15]","0, 2, 6, 14, 15, 19, 21, 22, 26, 27, 30, 33, 34, 35 [14]"
3,"0, 1, 2, 4, 5, 12, 15, 16, 21, 24, 25, 27, 29, 35, 36 [15]","0, 3, 5, 10, 12, 21, 23, 24, 26, 27, 31, 34, 35 [13]","0, 2, 4, 8, 9, 11, 13, 18, 21, 25, 27, 32, 33, 35 [14]","0, 2, 4, 10, 11, 12, 17, 19, 21, 25, 27, 33, 34, 35 [14]","0, 2, 4, 6, 15, 21, 22, 23, 27, 28, 30, 32, 35 [13]","0, 3, 4, 11, 13, 17, 20, 21, 22, 27, 29, 31, 33, 35 [14]","0, 2, 3, 5, 10, 12, 15, 21, 26, 27, 31, 35, 36 [13]","0, 3, 6, 7, 15, 18, 21, 22, 24, 27, 29, 35 [12]"
4,"0, 2, 9, 16, 15, 21,23, 24, 27, 28, 29, 33, 35, 36 [14]","0, 4, 5, 7, 14, 15, 16, 20, 21, 27, 33, 35, 36 [13]","0, 4, 5, 6, 9, 10, 16, 18, 20, 21, 22, 27, 29, 33, 35 [15]","0, 1, 4, 6, 11, 14, 18, 21, 23, 25, 27, 29, 30, 32, 35 [15]","0, 6, 8, 10, 11, 18, 21, 23, 24, 27, 29, 30, 35 [13]","0, 2, 4, 9, 13, 14, 16, 17, 18, 21, 27, 29, 32, 33, 35 [15]","0, 1, 3, 4, 9, 14, 15, 16, 18, 21, 27, 29, 30, 35 [14]","0, 6, 7, 8, 9, 11, 12, 13, 14, 18, 21, 24, 27, 33, 35 [14]"
5,"0, 1, 4, 6, 7, 13, 16, 18, 20, 21, 22, 25, 27, 31, 35, 36 [16]","0, 4, 5, 8, 11, 14, 16, 18, 20, 21, 23, 26, 27, 31, 35 [15]","0, 4, 5, 7, 12, 18, 19, 20, 21, 27, 29, 32, 35 [13]","0, 3, 5, 6, 11, 13, 17, 21, 25, 27, 29, 30, 34, 35 [14]","0, 2, 4, 6, 9, 12, 13, 15, 19, 21, 25, 27, 31, 34, 35 [15]","0, 1, 7, 11, 15, 17, 19, 20, 21, 22, 27, 30, 32, 35 [14]","0, 4, 5, 15, 16, 17, 21, 25, 27, 28, 29, 34, 35 [13]","0, 1, 3, 7, 13, 16, 18, 21, 27, 35 [10]"
6,"0, 2, 11, 12, 15, 17, 21, 22, 23, 27, 28, 31, 35 [14]","0, 4, 7, 9, 11, 12, 16, 18, 21, 23, 25, 27, 30, 33, 35 [15]","0, 1, 2, 6, 10, 11, 14, 22, 23, 21, 27, 29, 30, 34, 35 [15]","0, 5, 10, 13, 14, 17, 21, 22, 25, 27, 29, 30, 35, 36 [14]","0, 2, 7, 11, 12, 17, 19, 21, 22, 24, 27, 29, 31, 35 [14]","0, 3, 5, 12, 18, 21, 23, 24, 25, 26, 27, 28, 29, 32, 33, 35 [16]","0, 1, 3, 5, 12, 15, 16, 17, 21, 27, 28, 29, 30, 33, 35 [15]","0, 1, 3, 7, 10, 14, 16, 17, 18, 21, 27, 29, 35 [13]"
7,"0, 2, 4, 9, 10, 11, 12, 18, 21, 24, 27, 32, 33, 34, 35 [14]","0, 2, 7, 9, 12, 14, 15, 18, 21, 22, 27, 29, 33, 35, 36 [14]","0, 4, 5, 8, 11, 13, 14, 16, 18, 21, 23, 27, 30, 31, 35 [15]","0, 2, 4, 6, 10, 12, 18, 21, 23, 27, 28, 30, 32, 35 [14]","0, 2, 10, 11, 18, 19, 20, 21, 23, 27, 30, 32, 35, 36 [14]","0, 4, 5, 11, 14, 16, 18, 20, 21, 24, 26, 27, 31, 35 [14]","0, 4, 5, 7, 12, 14, 15, 21, 24, 27, 29, 33, 35 [13]","0, 2, 3, 5, 10, 12, 18, 21, 23, 26, 27, 31, 35, 36 [14]"
8,"0,  5, 9, 12, 15, 16, 17, 21,24, 25, 26 27, 33, 34 ,35 [15]","0, 5, 6, 7, 12, 16, 18, 20, 21, 22, 25, 27, 31, 32, 33, 35 [16]","0, 1, 3, 11, 12, 21, 22, 23, 24, 27, 28, 29, 30, 35, 36 [15]","0, 1, 4, 10, 11, 19, 20, 21, 22, 27, 29, 30, 31, 34, 35 [15]","0, 6, 8, 9, 10, 12, 13, 16, 18, 21, 25, 27, 30, 33, 35 [15]","0, 1, 2, 6, 10, 21, 22, 27, 28, 29, 30, 32, 35, 36 [14]","0, 1, 2, 6, 8, 10, 11, 21, 27, 28, 29, 30, 35, 36 [14]","0, 1, 2, 6, 9, 10, 11, 19, 20, 21, 23, 24, 27, 32, 35, 36 [16]"
9,"0, 2, 4, 10, 13, 18, 20, 21, 22, 27, 28, 33, 34, 35 [14]","0, 2, 4, 11, 12, 18, 21, 22, 24, 27, 28, 34, 35 [13]","0, 2, 7, 14, 16, 18, 20, 21, 22, 27, 29, 33, 35, 36 [14]","0, 1, 2, 6, 14, 16, 18, 20, 21, 25, 27, 31, 32, 35, 36 [15]","0, 2, 3, 5, 10, 19, 21, 23, 26, 27, 31, 35, 36 [13]","0, 5, 6, 7, 14, 16, 18, 21, 22, 23, 24, 26, 27, 31, 35 [15]","0, 1, 3, 5, 9, 15, 21, 23, 26, 27, 28, 29, 30, 35, 36 [15]","0, 1, 2, 3, 7, 8, 16, 17, 21, 22, 23, 27, 31, 33, 35 [15]"
